epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,738.645,1.18288,0.65066,1.02464,0.81541,0.80169,0.84855,0.45625,1.58339,0.8136,1.28071,0.00161192,0.00161192,0.00161192
100,745.295,1.20531,0.66524,1.00319,0.86021,0.79325,0.8713,0.44232,1.65798,0.80399,1.32226,0.00160796,0.00160796,0.00160796
101,751.878,1.17225,0.63985,0.99881,0.85415,0.78903,0.84629,0.45787,1.55386,0.80866,1.25081,0.001604,0.001604,0.001604
102,758.726,1.17681,0.66458,1.01692,0.83251,0.81013,0.85351,0.42727,1.65293,0.82514,1.315,0.00160004,0.00160004,0.00160004
103,765.384,1.1858,0.64482,1.02512,0.8202,0.84692,0.86137,0.43953,1.67288,0.82637,1.32345,0.00159608,0.00159608,0.00159608
104,772.04,1.17617,0.62839,1.00553,0.84098,0.80169,0.85134,0.44149,1.63318,0.79577,1.29244,0.00159212,0.00159212,0.00159212
105,778.615,1.16771,0.63709,1.0095,0.86852,0.78045,0.87958,0.45232,1.6221,0.7838,1.297,0.00158816,0.00158816,0.00158816
106,785.249,1.16349,0.64184,0.99758,0.86166,0.78903,0.86829,0.46916,1.62289,0.7888,1.31859,0.0015842,0.0015842,0.0015842
107,792.031,1.14456,0.64141,0.98637,0.84557,0.80859,0.88609,0.4732,1.57837,0.82676,1.28949,0.00158024,0.00158024,0.00158024
108,798.862,1.17741,0.61687,0.99251,0.8319,0.80169,0.88261,0.46275,1.58124,0.80919,1.29261,0.00157628,0.00157628,0.00157628
109,805.516,1.17284,0.64955,1.00874,0.83128,0.81079,0.87188,0.44689,1.63006,0.79809,1.30792,0.00157232,0.00157232,0.00157232
110,812.088,1.17068,0.63565,1.01615,0.8,0.84388,0.86507,0.45554,1.58691,0.78249,1.29509,0.00156836,0.00156836,0.00156836
111,818.754,1.11617,0.60156,0.97772,0.82016,0.8481,0.88617,0.46899,1.59534,0.77744,1.29314,0.0015644,0.0015644,0.0015644
112,825.318,1.11148,0.61532,0.9901,0.85522,0.79747,0.88314,0.4363,1.68803,0.86537,1.34273,0.00156044,0.00156044,0.00156044
113,831.963,1.16388,0.6248,1.0037,0.82805,0.79242,0.85006,0.43584,1.64781,0.93113,1.3074,0.00155648,0.00155648,0.00155648
114,838.544,1.15789,0.61137,1.01487,0.81475,0.79799,0.84868,0.44282,1.63821,0.77304,1.30638,0.00155252,0.00155252,0.00155252
115,845.166,1.15223,0.6315,1.00524,0.84363,0.79676,0.86564,0.45567,1.60142,0.7963,1.28843,0.00154856,0.00154856,0.00154856
116,853.184,1.13148,0.63772,0.98393,0.8299,0.78059,0.86828,0.43663,1.67255,0.83614,1.31262,0.0015446,0.0015446,0.0015446
117,860.933,1.14855,0.61628,0.97623,0.86763,0.77437,0.87017,0.44349,1.68536,0.842,1.34646,0.00154064,0.00154064,0.00154064
118,870.546,1.12417,0.6206,1.00415,0.78535,0.81435,0.85563,0.45042,1.60618,0.80596,1.30775,0.00153668,0.00153668,0.00153668
119,880.377,1.12698,0.5987,0.99849,0.85279,0.75773,0.86891,0.43491,1.68129,0.88227,1.3528,0.00153272,0.00153272,0.00153272
120,890.426,1.15384,0.61149,1.00264,0.81648,0.78059,0.84389,0.41148,1.77719,0.87706,1.42212,0.00152876,0.00152876,0.00152876
121,898.727,1.1625,0.61449,0.99062,0.83214,0.81435,0.87658,0.45913,1.5959,0.80395,1.29891,0.0015248,0.0015248,0.0015248
122,907.178,1.12502,0.62709,0.97407,0.80606,0.827,0.86868,0.45361,1.60437,0.81504,1.30068,0.00152084,0.00152084,0.00152084
123,915.669,1.08197,0.59694,0.98657,0.7716,0.8481,0.87281,0.4521,1.59815,0.79389,1.31319,0.00151688,0.00151688,0.00151688
124,924.067,1.12129,0.61377,0.98174,0.84993,0.81249,0.87601,0.46431,1.59359,0.76225,1.31215,0.00151292,0.00151292,0.00151292
125,932.499,1.11112,0.61577,0.98731,0.82923,0.77637,0.8578,0.45061,1.6213,0.81636,1.32494,0.00150896,0.00150896,0.00150896
126,940.974,1.11049,0.6137,0.99936,0.83337,0.83544,0.87974,0.46291,1.58133,0.76438,1.30793,0.001505,0.001505,0.001505
127,949.24,1.14047,0.62871,0.99644,0.84953,0.76793,0.85626,0.45326,1.61539,0.88523,1.3073,0.00150104,0.00150104,0.00150104
128,957.66,1.09837,0.60846,0.98898,0.81029,0.77637,0.8498,0.42619,1.66357,0.85322,1.32756,0.00149708,0.00149708,0.00149708
129,965.321,1.12151,0.626,1.00614,0.81099,0.77637,0.84411,0.43797,1.65486,0.86393,1.30707,0.00149312,0.00149312,0.00149312
130,971.956,1.13907,0.62186,0.99111,0.8374,0.80591,0.84164,0.4352,1.67881,0.84332,1.34688,0.00148916,0.00148916,0.00148916
131,978.402,1.14755,0.64489,0.98197,0.81015,0.79223,0.84428,0.45575,1.66516,0.81283,1.32585,0.0014852,0.0014852,0.0014852
132,985.147,1.10336,0.60888,0.97572,0.84915,0.77215,0.85629,0.46597,1.58432,0.77488,1.30673,0.00148124,0.00148124,0.00148124
133,991.649,1.10118,0.58547,0.99453,0.84965,0.76301,0.84556,0.43468,1.65345,0.83416,1.30958,0.00147728,0.00147728,0.00147728
134,998.342,1.12595,0.58859,0.97845,0.81985,0.79325,0.85144,0.45261,1.56575,0.8279,1.26737,0.00147332,0.00147332,0.00147332
135,1004.96,1.09046,0.59355,0.97457,0.84847,0.78903,0.85908,0.44719,1.60381,0.78599,1.28211,0.00146936,0.00146936,0.00146936
136,1011.63,1.06573,0.60708,0.96713,0.85,0.79325,0.85843,0.46582,1.55019,0.74931,1.27152,0.0014654,0.0014654,0.0014654
137,1018.43,1.09351,0.61059,0.98028,0.84076,0.80199,0.86597,0.46302,1.57821,0.79611,1.30518,0.00146144,0.00146144,0.00146144
138,1025.03,1.1154,0.61113,0.98953,0.79692,0.82278,0.85141,0.45893,1.58471,0.82376,1.27634,0.00145748,0.00145748,0.00145748
139,1031.78,1.08986,0.61471,0.97939,0.77022,0.86076,0.86623,0.45686,1.58485,0.79685,1.29494,0.00145352,0.00145352,0.00145352
140,1038.47,1.06666,0.59236,0.96294,0.81947,0.78481,0.8465,0.43907,1.63427,0.81385,1.31036,0.00144956,0.00144956,0.00144956
141,1045.11,1.11035,0.6233,0.98807,0.85287,0.80715,0.86322,0.46153,1.62805,0.80867,1.32876,0.0014456,0.0014456,0.0014456
142,1051.75,1.06701,0.57638,0.98083,0.81045,0.827,0.86796,0.45349,1.65841,0.78648,1.31532,0.00144164,0.00144164,0.00144164
143,1058.66,1.09538,0.58591,0.96976,0.86468,0.80882,0.86523,0.46532,1.58353,0.76739,1.28748,0.00143768,0.00143768,0.00143768
144,1065.32,1.04358,0.56544,0.95981,0.77292,0.86171,0.8716,0.45371,1.60828,0.79727,1.31856,0.00143372,0.00143372,0.00143372
145,1071.99,1.10837,0.609,0.98199,0.84662,0.77637,0.87077,0.44976,1.58951,0.81094,1.28595,0.00142976,0.00142976,0.00142976
146,1078.61,1.06413,0.59684,0.97459,0.82059,0.78059,0.85757,0.45629,1.60602,0.8606,1.29131,0.0014258,0.0014258,0.0014258
147,1085.19,1.09202,0.60368,0.98461,0.83459,0.77637,0.85327,0.44019,1.62104,0.8294,1.30595,0.00142184,0.00142184,0.00142184
148,1091.89,1.0882,0.59132,0.98834,0.83672,0.81435,0.87644,0.45212,1.62121,0.75506,1.31652,0.00141788,0.00141788,0.00141788
149,1098.46,1.07928,0.59015,0.97037,0.83768,0.78392,0.84527,0.4499,1.61763,0.8295,1.30289,0.00141392,0.00141392,0.00141392
150,1105.27,1.05172,0.58044,0.94763,0.87149,0.78059,0.87052,0.45353,1.60578,0.78695,1.29463,0.00140996,0.00140996,0.00140996
151,1111.83,1.07323,0.58901,0.97203,0.81244,0.80169,0.87244,0.45073,1.63615,0.79567,1.30031,0.001406,0.001406,0.001406
152,1118.47,1.02727,0.56621,0.96663,0.82513,0.827,0.87393,0.46875,1.59478,0.76596,1.2978,0.00140204,0.00140204,0.00140204
153,1125.04,1.05385,0.56354,0.96642,0.86566,0.78846,0.84126,0.44008,1.67022,0.80776,1.32106,0.00139808,0.00139808,0.00139808
154,1131.75,1.06594,0.57039,0.96394,0.80304,0.79136,0.86937,0.46399,1.61711,0.82328,1.30459,0.00139412,0.00139412,0.00139412
155,1138.24,1.06363,0.5822,0.9797,0.86205,0.73826,0.8569,0.45534,1.61115,0.85826,1.30564,0.00139016,0.00139016,0.00139016
156,1144.9,1.06687,0.57527,0.98144,0.86123,0.75105,0.85491,0.44369,1.66987,0.82834,1.31666,0.0013862,0.0013862,0.0013862
157,1151.64,1.05122,0.57783,0.95999,0.85568,0.82556,0.88685,0.48305,1.56723,0.73934,1.28069,0.00138224,0.00138224,0.00138224
158,1160.81,1.0508,0.58205,0.97898,0.86311,0.78481,0.86686,0.4706,1.59118,0.77302,1.30198,0.00137828,0.00137828,0.00137828
159,1168.56,1.05394,0.57907,0.95974,0.84514,0.78293,0.87824,0.45686,1.63302,0.80062,1.30647,0.00137432,0.00137432,0.00137432
160,1176.45,1.07416,0.59442,0.99117,0.82759,0.76964,0.85282,0.44546,1.63105,0.88343,1.29722,0.00137036,0.00137036,0.00137036
161,1184.52,1.04213,0.57485,0.98306,0.83311,0.81857,0.87042,0.45881,1.59055,0.78814,1.29152,0.0013664,0.0013664,0.0013664
162,1192,1.09587,0.59763,0.97666,0.84384,0.827,0.8713,0.46896,1.58793,0.79917,1.27935,0.00136244,0.00136244,0.00136244
163,1200.42,1.06978,0.57741,0.97924,0.83459,0.78903,0.86676,0.46097,1.58829,0.77748,1.29104,0.00135848,0.00135848,0.00135848
164,1208.89,1.03829,0.5635,0.94608,0.86211,0.77215,0.86519,0.45509,1.6119,0.81412,1.3078,0.00135452,0.00135452,0.00135452
165,1217.2,1.04628,0.57197,0.97526,0.8765,0.80591,0.87698,0.46955,1.60747,0.75739,1.32678,0.00135056,0.00135056,0.00135056
166,1225.59,1.08194,0.57288,0.97206,0.81911,0.82278,0.8653,0.44686,1.64798,0.81733,1.3222,0.0013466,0.0013466,0.0013466
167,1234.1,1.04503,0.57501,0.96296,0.84867,0.7809,0.85872,0.4512,1.63049,0.81144,1.31035,0.00134264,0.00134264,0.00134264
168,1242.52,1.01912,0.56522,0.94474,0.83399,0.80547,0.86951,0.4544,1.6302,0.8198,1.32673,0.00133868,0.00133868,0.00133868
169,1250.91,1.0598,0.60894,0.9799,0.84565,0.81013,0.87009,0.45967,1.59753,0.76861,1.30305,0.00133472,0.00133472,0.00133472
170,1258.83,1.0435,0.5639,0.96047,0.85829,0.81776,0.87038,0.46611,1.62822,0.78475,1.31509,0.00133076,0.00133076,0.00133076
171,1266.66,1.04196,0.56896,0.95534,0.83827,0.77637,0.85808,0.46245,1.61838,0.82517,1.32242,0.0013268,0.0013268,0.0013268
172,1274.68,1.01501,0.54711,0.93884,0.86816,0.77801,0.86976,0.4586,1.63586,0.79965,1.33059,0.00132284,0.00132284,0.00132284
173,1284.24,1.04507,0.58777,0.97813,0.81525,0.81435,0.87663,0.46102,1.63417,0.7768,1.33155,0.00131888,0.00131888,0.00131888
174,1293.96,1.0165,0.56099,0.96398,0.8853,0.74906,0.853,0.45177,1.62783,0.82245,1.3109,0.00131492,0.00131492,0.00131492
175,1304.51,1.01583,0.56307,0.95118,0.85787,0.79747,0.87623,0.44633,1.64971,0.78365,1.32985,0.00131096,0.00131096,0.00131096
176,1312.72,1.00902,0.55661,0.96847,0.80411,0.81857,0.87155,0.44694,1.65113,0.82113,1.32521,0.001307,0.001307,0.001307
177,1320.86,1.02619,0.56272,0.96629,0.84549,0.79747,0.87364,0.47569,1.59529,0.77273,1.31174,0.00130304,0.00130304,0.00130304
178,1329.18,1.03396,0.56692,0.95497,0.87477,0.79747,0.87035,0.46384,1.6063,0.76713,1.30852,0.00129908,0.00129908,0.00129908
179,1337.57,1.06041,0.57365,0.9667,0.85469,0.76936,0.8707,0.46771,1.62718,0.78209,1.30726,0.00129512,0.00129512,0.00129512
180,1345.86,1.02295,0.57112,0.96474,0.878,0.75916,0.86324,0.4645,1.5871,0.81265,1.29171,0.00129116,0.00129116,0.00129116
